#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.149484    0.149484           0
           2    0.169606    0.159545   0.0071142
           3    0.160102    0.159731  0.00474522
           4    0.113416    0.148152   0.0106403
           5    0.122378    0.142997  0.00968066
           6     0.16924    0.147371  0.00900121
           7    0.133636    0.145409   0.0079263
           8    0.193818     0.15146  0.00895213
           9    0.151226    0.151434  0.00795748
          10    0.141076    0.150398  0.00722884
          11    0.131858    0.148713  0.00676531
          12    0.159774    0.149635  0.00626401
          13    0.164484    0.150777  0.00588539
          14    0.157892    0.151285  0.00548691
          15     0.14436    0.150823   0.0051405
          16    0.134664    0.149813  0.00491743
          17    0.126626    0.148449  0.00481362
          18     0.14299    0.148146  0.00455574
          19     0.12431    0.146892  0.00448537
          20    0.142948    0.146694  0.00426544
