#   N_BLOCK:  ACCEPTANCE:
           1    0.253749
           2    0.253604
           3    0.253614
           4    0.253479
           5    0.253111
           6       0.253
           7    0.252886
           8    0.253042
           9    0.253177
          10    0.253046
          11    0.252768
          12    0.252832
          13     0.25258
          14    0.252688
          15    0.252519
          16    0.252494
          17    0.252375
          18      0.2524
          19    0.252337
          20    0.252393
