#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.420526    0.420526           0
           2    0.404519    0.412523   0.0056593
           3     0.40084    0.408628  0.00493402
           4    0.409766    0.408913   0.0037087
           5    0.411591    0.409448   0.0030054
           6    0.402924    0.408361  0.00269404
           7    0.411388    0.408793  0.00234362
           8     0.40536    0.408364   0.0020896
           9     0.41914    0.409562  0.00217355
          10    0.405325    0.409138  0.00199707
          11    0.409562    0.409176  0.00181589
          12    0.416478    0.409785  0.00176357
          13    0.397971    0.408876  0.00184728
          14    0.412532    0.409137  0.00173369
          15    0.408117    0.409069  0.00161944
          16    0.412924     0.40931  0.00153604
          17    0.410202    0.409363  0.00144658
          18    0.414373    0.409641  0.00139274
          19    0.406903    0.409497  0.00132687
          20    0.432404    0.410642   0.0016838
