#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     6.50138     6.50138           0
           2     6.58228     6.54183   0.0286008
           3     6.53487     6.53951    0.019161
           4     6.40334     6.50547   0.0327984
           5     6.42264      6.4889   0.0301331
           6     6.19121     6.43929   0.0517875
           7     6.84536      6.4973   0.0696769
           8      6.3275     6.47607   0.0641184
           9     6.15322      6.4402   0.0662734
          10     6.69251     6.46543   0.0642697
          11     6.61198     6.47875   0.0597918
          12      6.5389     6.48377   0.0550188
          13     6.41652     6.47859   0.0510292
          14     6.12143     6.45308   0.0533819
          15      6.4928     6.45573   0.0498888
          16     6.62477     6.46629   0.0478763
          17     6.25032     6.45359   0.0467153
          18     6.35207     6.44795   0.0444592
          19     6.48432     6.44986   0.0421604
          20     6.96321     6.47553   0.0472236
