#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.40429     7.40429           0
           2     7.06654     7.23541    0.119413
           3     7.64639     7.37241    0.137292
           4     7.01896     7.28404    0.128291
           5     7.40532      7.3083    0.104901
           6     7.27136     7.30214   0.0875976
           7     7.38139     7.31346   0.0758116
           8     7.58104     7.34691    0.073343
           9     7.43158     7.35632   0.0657944
          10     6.80183     7.30087   0.0792055
          11     7.50516     7.31944   0.0741503
          12     7.54998     7.33865   0.0704159
          13     6.76389     7.29444   0.0776484
          14     7.96279     7.34218   0.0855275
          15     7.08131     7.32479   0.0815747
          16     7.24802     7.31999   0.0766172
          17     7.45457     7.32791   0.0725181
          18     7.20924     7.32131   0.0687884
          19     7.46414     7.32883   0.0655774
          20     6.51299     7.28804   0.0739047
