#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.420092    0.420092           0
           2     0.41858    0.419336 0.000534454
           3    0.420605    0.419759 0.000496147
           4    0.414371    0.418412  0.00122437
           5    0.413537    0.417437  0.00131146
           6    0.421184    0.418061  0.00123265
           7    0.412652    0.417289  0.00127598
           8    0.417173    0.417274  0.00111656
           9    0.423918    0.418012  0.00121222
          10    0.415915    0.417803  0.00110899
          11    0.410004    0.417094   0.0012138
          12     0.41222    0.416688  0.00117864
          13    0.414945    0.416554  0.00109557
          14    0.418331    0.416681  0.00102465
          15    0.414803    0.416555 0.000963955
          16    0.404108    0.415777  0.00117646
          17     0.42369    0.416243  0.00119579
          18    0.423307    0.416635  0.00119202
          19    0.412504    0.416418  0.00114894
          20    0.407162    0.415955  0.00118103
