#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.398979    0.398979           0
           2    0.392598    0.395789  0.00225609
           3    0.400226    0.397268  0.00192892
           4    0.390404    0.395552    0.002074
           5    0.398449    0.396131  0.00173826
           6    0.401098    0.396959  0.00163378
           7    0.395034    0.396684  0.00142334
           8     0.39365    0.396305  0.00129496
           9    0.401771    0.396912  0.00128562
          10    0.386974    0.395918  0.00149255
          11    0.398667    0.396168  0.00137762
          12    0.396957    0.396234  0.00126438
          13    0.398727    0.396426  0.00118157
          14    0.394366    0.396279   0.0011063
          15    0.394358     0.39615  0.00103993
          16    0.403094    0.396584  0.00106164
          17    0.400355    0.396806   0.0010221
          18    0.411076    0.397599  0.00123506
          19    0.402518    0.397858  0.00119688
          20    0.402421    0.398086  0.00115858
