#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.74006     5.74006           0
           2     5.70079     5.72042   0.0138863
           3     5.80165      5.7475   0.0239664
           4     5.48833     5.68271   0.0589194
           5     5.29908     5.60598   0.0832532
           6     5.51632     5.59104   0.0707063
           7     5.61617     5.59463   0.0606965
           8     5.58548     5.59349   0.0531202
           9     5.75178     5.61107   0.0500451
          10     5.54541     5.60451   0.0454693
          11     5.61373     5.60535   0.0413435
          12     5.46341     5.59352   0.0395538
          13     5.73568     5.60445   0.0379929
          14     5.64144      5.6071   0.0353709
          15     5.44387     5.59621   0.0346463
          16     5.56853     5.59448   0.0325241
          17     5.50995     5.58951   0.0309887
          18     5.56754     5.58829   0.0292912
          19     5.86529     5.60287   0.0311673
          20     5.72751      5.6091   0.0302256
