#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.086656    0.086656           0
           2    0.096884     0.09177  0.00361614
           3    0.077216   0.0869187  0.00463703
           4    0.097606   0.0895905  0.00417719
           5    0.100454   0.0917632  0.00386572
           6     0.07913   0.0896577  0.00375127
           7    0.112974   0.0929886  0.00445517
           8      0.0897   0.0925775   0.0039172
           9    0.073476   0.0904551  0.00401597
          10    0.098022   0.0912118  0.00368497
          11    0.086694   0.0908011  0.00337278
          12    0.097568    0.091365  0.00313851
          13    0.088218   0.0911229   0.0029064
          14    0.091762   0.0911686  0.00269916
          15     0.11228    0.092576  0.00286274
          16    0.083488    0.092008  0.00273958
          17    0.117258   0.0934933  0.00295375
          18    0.083848   0.0929574  0.00283784
          19     0.08967   0.0927844  0.00269375
          20    0.079104   0.0921004  0.00264448
