#   N_BLOCK:  ACCEPTANCE:
           1    0.278991
           2    0.278413
           3    0.278719
           4    0.278752
           5    0.278714
           6    0.279038
           7    0.279083
           8    0.279358
           9    0.279603
          10    0.279542
          11    0.279549
          12    0.279487
          13    0.279237
          14    0.279377
          15    0.279274
          16    0.279235
          17    0.279281
          18    0.279376
          19    0.279257
          20    0.279308
