#   N_BLOCK:  ACCEPTANCE:
           1   0.0902448
           2   0.0924532
           3    0.093122
           4    0.092917
           5    0.092741
           6   0.0924264
           7   0.0925467
           8   0.0928554
           9   0.0925459
          10   0.0923571
          11   0.0925217
          12   0.0925829
          13   0.0928877
          14    0.093152
          15   0.0935013
          16   0.0937664
          17   0.0940299
          18   0.0938456
          19   0.0936172
          20   0.0936049
