#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.2622     10.2622           0
           2     9.17816     9.72019    0.383274
           3     9.78916     9.74318    0.256205
           4      9.7337     9.74081    0.192164
           5     10.9292     9.97849    0.262351
           6     10.3384     10.0385    0.225381
           7     9.76754     9.99978    0.196479
           8     10.5008     10.0624    0.181625
           9     10.7279     10.1363    0.175855
          10      10.141     10.1368     0.15827
          11     10.2614     10.1481    0.144286
          12     9.91751     10.1289    0.133536
          13      8.8934     10.0339    0.153401
          14     10.8325     10.0909    0.152683
          15     9.96821     10.0827    0.142723
          16     10.4885     10.1081    0.136037
          17     10.6152     10.1379    0.131265
          18     9.51893     10.1035    0.128398
          19     10.9393     10.1475    0.128955
          20     8.10841     10.0456    0.157744
