#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.170338    0.170338           0
           2    0.189646    0.179992  0.00682641
           3     0.19234    0.184108  0.00565733
           4    0.148348    0.175168  0.00882869
           5     0.14486    0.169106  0.00890391
           6    0.179682    0.170869  0.00759238
           7    0.151986    0.168171  0.00697053
           8    0.202222    0.172428  0.00728369
           9    0.151224    0.170072  0.00684482
          10    0.196552     0.17272  0.00665286
          11    0.156024    0.171202  0.00621879
          12    0.184924    0.172346  0.00580473
          13    0.190252    0.173723  0.00551922
          14    0.188788    0.174799  0.00522884
          15     0.16982    0.174467  0.00489078
          16    0.152376    0.173086  0.00477602
          17    0.148598    0.171646   0.0047073
          18    0.166548    0.171363  0.00445429
          19    0.135968      0.1695  0.00459291
          20    0.171352    0.169592   0.0043642
