#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.439896    0.439896           0
           2    0.419864     0.42988  0.00708255
           3    0.435872    0.431877  0.00499541
           4    0.445852    0.435371  0.00481578
           5    0.438704    0.436038   0.0038985
           6    0.428972     0.43486    0.003422
           7    0.418921    0.432583   0.0036121
           8     0.43247    0.432569  0.00316061
           9    0.443927    0.433831  0.00305099
          10    0.435274    0.433975   0.0027493
          11    0.426909    0.433333  0.00257332
          12    0.421495    0.432346  0.00254093
          13    0.428536    0.432053  0.00236232
          14    0.442369     0.43279  0.00230563
          15    0.432325    0.432759  0.00215213
          16    0.437653    0.433065  0.00203924
          17    0.429856    0.432876    0.001928
          18    0.441946     0.43338  0.00188558
          19     0.42932    0.433166  0.00179841
          20    0.415709    0.432293   0.0019086
