#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     52.8371     52.8371           0
           2     57.5536     55.1954     1.66753
           3     56.2038     55.5315     1.14507
           4     54.0305     55.1563     0.91823
           5     55.9038     55.3058    0.746656
           6       57.74     55.7115    0.724094
           7     64.5535     56.9746     1.32394
           8     54.9272     56.7187     1.18293
           9     61.3071     57.2285     1.15615
          10     62.2906     57.7347     1.14601
          11     58.1027     57.7682     1.04231
          12     59.8762     57.9439    0.970144
          13     70.1707     58.8844      1.2722
          14     50.7407     58.3027     1.30757
          15     61.7405     58.5319     1.24032
          16     62.5313     58.7818     1.18772
          17     63.0117     59.0307     1.14362
          18      63.139     59.2589     1.10263
          19     56.8755     59.1335     1.05171
          20     65.5463     59.4541     1.04686
