#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.716712    0.716712           0
           2    0.752694    0.734703   0.0127216
           3    0.707248    0.725551   0.0113032
           4    0.717942    0.723649  0.00863603
           5    0.695988    0.718117    0.008498
           6    0.712692    0.717213   0.0071296
           7     0.77814    0.725917   0.0101134
           8    0.701872    0.722911   0.0092851
           9    0.691518    0.719423  0.00888448
          10     0.56165    0.703646   0.0169696
          11     0.57107    0.691593   0.0192365
          12    0.844028    0.704296   0.0214209
          13    0.637398     0.69915   0.0203819
          14    0.739522    0.702034    0.019129
          15     0.64921    0.698512    0.018175
          16    0.786752    0.704027   0.0178562
          17    0.760932    0.707375   0.0171167
          18    0.652342    0.704317   0.0164365
          19    0.663012    0.702143   0.0157146
          20    0.806422    0.707357   0.0157701
