#   N_BLOCK:  ACCEPTANCE:
           1    0.439604
           2    0.441325
           3    0.440961
           4    0.440659
           5    0.440641
           6    0.440767
           7    0.440346
           8    0.440423
           9      0.4405
          10    0.440507
          11    0.440463
          12    0.440348
          13     0.44037
          14    0.440421
          15    0.440439
          16      0.4404
          17     0.44036
          18    0.440317
          19    0.440215
          20    0.440218
