#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.25439     2.25439           0
           2     2.15722      2.2058   0.0343539
           3     2.18897     2.20019   0.0233561
           4     2.15439     2.18874   0.0201299
           5     2.20713     2.19242   0.0164363
           6     2.11649     2.17976   0.0179178
           7     2.18085     2.17992   0.0153588
           8     2.21553     2.18437   0.0140692
           9     2.21723     2.18802   0.0129709
          10     2.17579      2.1868   0.0117313
          11     2.14467     2.18297   0.0112728
          12     2.20918     2.18515    0.010543
          13     2.17156     2.18411  0.00978371
          14     2.19522      2.1849    0.009117
          15     2.20204     2.18604  0.00858053
          16     2.11026     2.18131  0.00925961
          17     2.14452     2.17914  0.00896424
          18     2.16037      2.1781  0.00852665
          19     2.19518       2.179  0.00812511
          20     2.12238     2.17617  0.00819726
