#   N_BLOCK:  ACCEPTANCE:
           1   0.0831981
           2   0.0844649
           3   0.0854685
           4   0.0871432
           5   0.0869145
           6   0.0869364
           7   0.0871404
           8   0.0868547
           9   0.0866343
          10   0.0865719
          11   0.0865932
          12   0.0863307
          13   0.0864759
          14   0.0872408
          15   0.0870101
          16   0.0868371
          17   0.0869782
          18    0.086933
          19   0.0866623
          20   0.0866857
