#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.681852    0.681852           0
           2    0.437782    0.559817   0.0862918
           3    0.645322    0.588319   0.0620566
           4    0.573688    0.584661   0.0466501
           5    0.585908     0.58491   0.0373207
           6    0.716486     0.60684   0.0369864
           7     0.66918    0.615745   0.0327573
           8    0.708752    0.627371   0.0306563
           9     0.73601    0.639442   0.0295311
          10    0.728318     0.64833   0.0278833
          11     0.62503    0.646212   0.0254288
          12    0.672246    0.648381   0.0234021
          13    0.659434    0.649231   0.0216174
          14    0.641782    0.648699   0.0200798
          15    0.652836    0.648975    0.018743
          16    0.577926    0.644534     0.01809
          17    0.675538    0.646358   0.0171176
          18    0.575098    0.642399   0.0166181
          19    0.709554    0.645934   0.0161149
          20    0.705958    0.648935   0.0155861
