#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.433466    0.433466           0
           2    0.427236    0.430351  0.00220279
           3    0.446502    0.435735  0.00463457
           4    0.418588    0.431448  0.00508559
           5       0.415    0.428158  0.00502096
           6    0.427748     0.42809   0.0041846
           7    0.412298    0.425834  0.00415062
           8    0.413722     0.42432  0.00389817
           9    0.432291    0.425206  0.00356424
          10    0.416881    0.424373  0.00330361
          11    0.439711    0.425767  0.00328439
          12    0.443939    0.427282  0.00334161
          13    0.411327    0.426055  0.00330227
          14    0.418112    0.425487  0.00311474
          15    0.424806    0.425442  0.00290742
          16    0.428969    0.425662  0.00273405
          17    0.414891    0.425029  0.00264562
          18    0.418084    0.424643  0.00252661
          19    0.436139    0.425248  0.00246501
          20    0.404536    0.424212  0.00255004
