#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     48.9777     48.9777           0
           2     44.8655     46.9216      1.4539
           3     39.1489     44.3307     2.32695
           4     38.8946     42.9717     2.10498
           5     42.4606     42.8694     1.68647
           6     46.6641     43.5019     1.51935
           7     41.9355     43.2781     1.31868
           8     43.2435     43.2738     1.15385
           9     44.5847     43.4194      1.0348
          10     49.0437     43.9819     1.07334
          11     40.0027     43.6201     1.03492
          12     46.3613     43.8486    0.973563
          13     45.7988     43.9986    0.910159
          14     42.3935     43.8839    0.852338
          15     41.5977     43.7315    0.809029
          16     47.5366     43.9693    0.792648
          17     43.5423     43.9442     0.74642
          18     41.3361     43.7993    0.718879
          19      45.924     43.9111    0.689686
          20     44.7522     43.9532    0.656482
