#   N_BLOCK:  ACCEPTANCE:
           1   0.0499562
           2   0.0526176
           3   0.0526111
           4    0.052403
           5   0.0516432
           6   0.0504762
           7    0.050377
           8   0.0499974
           9   0.0493639
          10   0.0485038
          11   0.0486401
          12   0.0487888
          13   0.0489297
          14   0.0493043
          15     0.04957
          16    0.049694
          17   0.0495154
          18   0.0494264
          19   0.0489142
          20   0.0489094
