#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.211046    0.211046           0
           2    0.207089    0.209067  0.00139935
           3    0.202989    0.207041  0.00189924
           4    0.200688    0.205453  0.00198025
           5      0.1997    0.204302  0.00188908
           6    0.207212    0.204787  0.00163528
           7    0.203346    0.204581  0.00141457
           8    0.208895    0.205121  0.00133655
           9    0.205989    0.205217  0.00119152
          10    0.205238    0.205219  0.00107237
          11    0.201832    0.204911  0.00101814
          12    0.204513    0.204878 0.000933834
          13    0.203656    0.204784 0.000866721
          14    0.201414    0.204543 0.000837577
          15    0.207458    0.204738 0.000803959
          16    0.204441    0.204719 0.000753925
          17    0.204106    0.204683 0.000710438
          18    0.207407    0.204834 0.000686899
          19    0.206197    0.204906 0.000654482
          20    0.201195     0.20472 0.000647533
