#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.68639     5.68639           0
           2     5.86785     5.77712   0.0641552
           3     6.08152     5.87859   0.0932346
           4     5.52974     5.79138    0.102927
           5     5.40311     5.71372    0.107723
           6     5.72666     5.71588   0.0897905
           7     5.50081     5.68515   0.0820513
           8     5.40925     5.65067   0.0787101
           9      5.5537     5.63989   0.0706981
          10     5.05103     5.58101   0.0846723
          11     5.56387     5.57945   0.0769891
          12     5.47881     5.57106   0.0710287
          13     5.31731     5.55154   0.0681944
          14     5.65569     5.55898   0.0637278
          15     5.37716     5.54686   0.0606212
          16     5.53471      5.5461   0.0568371
          17     5.86195     5.56468   0.0564487
          18     5.69835     5.57211   0.0537989
          19     5.80669     5.58445    0.052365
          20     5.34849     5.57265   0.0510584
