#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.90904     3.90904           0
           2     4.09547     4.00225   0.0659148
           3     4.12291     4.04247   0.0548569
           4     3.95419      4.0204   0.0453658
           5     4.02868     4.02206   0.0363228
           6       3.891     4.00021    0.036246
           7     4.17867     4.02571   0.0390163
           8       4.066     4.03074   0.0344629
           9     3.90303     4.01655   0.0334276
          10     3.78687     3.99359   0.0371471
          11     3.86246     3.98167   0.0356314
          12     3.91355     3.97599   0.0331111
          13     3.82557     3.96442   0.0325229
          14     3.96606     3.96454   0.0302001
          15     3.97205     3.96504   0.0281909
          16      4.0784     3.97212   0.0273047
          17     4.15677     3.98298   0.0277751
          18     4.09076     3.98897   0.0268696
          19      3.9288      3.9858   0.0256413
          20     3.81836     3.97743   0.0256898
