#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.08255     0.08255           0
           2    0.087276    0.084913  0.00167089
           3     0.07116   0.0803287  0.00390533
           4    0.072152   0.0782845  0.00342242
           5    0.074652    0.077558  0.00281399
           6     0.06895   0.0761233  0.00268593
           7    0.076614   0.0761934  0.00230314
           8    0.080842   0.0767745  0.00208726
           9    0.075314   0.0766122  0.00186164
          10    0.062588   0.0752098  0.00213947
          11    0.064086   0.0741985  0.00217085
          12    0.073844    0.074169  0.00199015
          13    0.081206   0.0747103  0.00190926
          14    0.086704    0.075567  0.00195566
          15    0.063856   0.0747863  0.00197498
          16     0.07322   0.0746884  0.00185397
          17    0.064784   0.0741058  0.00183417
          18     0.06818   0.0737766  0.00176157
          19    0.068092   0.0734774  0.00169407
          20      0.0774   0.0736735  0.00162068
