#   N_BLOCK:  ACCEPTANCE:
           1    0.347238
           2    0.348564
           3    0.348768
           4    0.348742
           5    0.348464
           6    0.348384
           7    0.348155
           8    0.348276
           9    0.348522
          10    0.348068
          11    0.348155
          12    0.348193
          13    0.348028
          14    0.348157
          15    0.348078
          16     0.34807
          17    0.348066
          18    0.347937
          19    0.347935
          20    0.348022
