#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.238234    0.238234           0
           2    0.239875    0.239054 0.000580336
           3    0.241626    0.239912 0.000799848
           4    0.233167    0.238225  0.00157878
           5    0.239957    0.238572  0.00130044
           6    0.241887    0.239124  0.00119533
           7    0.239741    0.239212  0.00102782
           8    0.241663    0.239519 0.000943896
           9    0.237304    0.239273 0.000870519
          10    0.237141    0.239059 0.000809134
          11    0.236995    0.238872 0.000757028
          12    0.242977    0.239214 0.000767362
          13    0.238154    0.239132 0.000712655
          14    0.239768    0.239178 0.000663198
          15    0.238239    0.239115 0.000621932
          16    0.235343    0.238879 0.000626165
          17    0.236633    0.238747 0.000603108
          18    0.234831     0.23853 0.000607573
          19    0.237114    0.238455 0.000580149
          20     0.23791    0.238428 0.000551782
