#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.042282    0.042282           0
           2    0.032504    0.037393  0.00345705
           3      0.0388    0.037862  0.00233629
           4     0.03543    0.037254  0.00182962
           5     0.03354   0.0365112  0.00160743
           6     0.04253   0.0375143  0.00162262
           7    0.037414      0.0375  0.00139088
           8    0.038114   0.0375768  0.00121913
           9    0.034292   0.0372118  0.00113699
          10    0.026102   0.0361008    0.001469
          11    0.035778   0.0360715  0.00133575
          12    0.030758   0.0356287  0.00129575
          13    0.041246   0.0360608  0.00126608
          14    0.032298    0.035792  0.00120383
          15    0.042222   0.0362207  0.00119747
          16    0.037898   0.0363255  0.00112721
          17      0.0414    0.036624  0.00109971
          18    0.036814   0.0366346  0.00103867
          19    0.038028   0.0367079 0.000986589
          20    0.026502   0.0361976  0.00106105
