#   N_BLOCK:  ACCEPTANCE:
           1    0.476847
           2    0.478395
           3    0.478485
           4    0.478248
           5    0.478633
           6     0.47884
           7    0.478666
           8    0.478746
           9    0.478851
          10    0.478852
          11    0.478841
          12    0.478821
          13    0.478779
          14    0.478843
          15    0.478831
          16    0.478764
          17     0.47876
          18    0.478739
          19    0.478635
          20    0.478643
