#   N_BLOCK:  ACCEPTANCE:
           1   0.0462419
           2   0.0440395
           3   0.0468315
           4    0.047884
           5   0.0474992
           6   0.0467091
           7   0.0476091
           8    0.047668
           9    0.047645
          10   0.0470205
          11   0.0470222
          12   0.0464418
          13   0.0461208
          14   0.0466352
          15   0.0466689
          16   0.0458562
          17   0.0453913
          18   0.0455562
          19   0.0452467
          20   0.0450983
