#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      58.745      58.745           0
           2     62.9215     60.8333     1.47663
           3     53.4282     58.3649     2.24297
           4     54.8322     57.4818     1.84794
           5     58.1794     57.6213     1.48361
           6     60.6751     58.1303     1.32077
           7     51.5998     57.1973     1.42395
           8     56.4156     57.0996      1.2493
           9     57.1905     57.1097     1.11053
          10     61.6606     57.5648     1.08874
          11     57.4263     57.5522    0.989835
          12     63.0157     58.0075     1.00663
          13     62.0033     58.3149    0.974991
          14     52.4486     57.8958    0.991308
          15     56.4359     57.7985    0.929987
          16     69.1114     58.5056     1.10852
          17     65.3426     58.9077     1.11388
          18     57.0409      58.804     1.05682
          19     63.7235     59.0629     1.03243
          20     62.2566     59.2226    0.993079
