#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.45211     0.45211           0
           2      0.4771    0.464605   0.0088353
           3     0.48136     0.47019  0.00744911
           4    0.474022    0.471148   0.0056481
           5    0.459502    0.468819  0.00497562
           6    0.458486    0.467097  0.00443437
           7    0.445136    0.463959  0.00478362
           8    0.504794    0.469064  0.00634958
           9    0.435334    0.465316  0.00665887
          10    0.377558     0.45654   0.0102581
          11    0.473336    0.458067  0.00943852
          12     0.48975    0.460707  0.00901369
          13    0.458106    0.460507  0.00832255
          14    0.439848    0.459032  0.00785782
          15     0.42423    0.456711  0.00766884
          16    0.414482    0.454072  0.00763021
          17    0.398286    0.450791  0.00785539
          18    0.395902    0.447741  0.00798895
          19     0.39451     0.44494  0.00804475
          20    0.430142      0.4442  0.00767646
