# mu		sigma		energy		error
1	0.974697	1.01444	0.540258	0.0973541
2	1.00514	1.05664	0.811873	0.104266
3	0.960779	1.05634	0.706439	0.105922
4	0.994186	1.09594	1.2988	0.14922
5	1.0151	1.1015	1.07475	0.129186
6	0.977126	1.05203	0.692736	0.0835932
7	1.02604	1.06713	1.1334	0.147455
8	0.981057	1.03188	0.901842	0.13436
9	0.972786	1.02853	0.626708	0.10392
10	0.979131	1.0048	0.657245	0.114641
11	0.988883	1.0536	0.980558	0.111718
12	0.988624	1.0156	0.571975	0.118258
13	1.02175	0.995868	0.892874	0.147262
14	0.980305	0.974454	0.486377	0.0812197
15	0.992283	0.961333	0.611986	0.0995075
16	1.01912	0.98906	0.835171	0.126273
17	1.00388	0.945764	0.464994	0.0874499
18	1.0028	0.937232	0.605717	0.0914029
19	1.02451	0.887426	0.313198	0.0706541
20	0.999197	0.939968	0.501869	0.101174
21	0.946281	0.990697	0.545305	0.12227
22	0.995612	1.04336	1.03844	0.154617
23	1.03487	1.09242	1.16904	0.137008
24	1.05595	1.07741	1.19618	0.116498
25	1.06041	1.08576	1.22169	0.145873
26	1.03037	1.12678	1.4831	0.149461
27	0.98083	1.1032	1.13117	0.171518
28	0.988938	1.09389	1.14485	0.157648
29	0.989079	1.06676	0.82626	0.119205
30	0.976418	1.06722	1.00509	0.153555
31	0.983066	1.07164	1.15389	0.163324
32	0.933806	1.06096	0.686564	0.122633
33	0.894919	1.07699	0.460157	0.0852469
34	0.92451	1.04444	0.391426	0.0913599
35	0.959694	1.01908	0.627807	0.10122
36	0.940973	0.981853	0.352305	0.0703981
37	0.954633	0.947667	0.333867	0.0769452
38	0.987428	0.942572	0.591211	0.10071
39	0.956301	0.938244	0.36274	0.066058
40	0.947864	0.879538	0.11625	0.0572229
41	0.910915	0.895084	0.239841	0.0765643
42	0.952426	0.900663	0.146225	0.0778418
43	0.988795	0.882307	0.208213	0.0603964
44	0.979131	0.867483	0.217913	0.0667607
45	1.01308	0.876911	0.296671	0.0637718
46	0.969328	0.905822	0.205287	0.0619101
47	1.00101	0.846006	0.172895	0.0574396
48	1.03407	0.812587	0.121092	0.0520055
49	1.0235	0.804313	0.0671823	0.0467093
50	1.04425	0.762983	0.0422154	0.0450928
51	1.03052	0.756253	0.0474436	0.0511248
52	1.0073	0.769652	-0.0647501	0.0521843
53	0.978528	0.74064	-0.140407	0.0317162
54	0.994294	0.715981	-0.146794	0.0505539
55	0.95786	0.667022	-0.315078	0.0266618
56	0.895865	0.647818	-0.365299	0.0208341
57	0.844363	0.6349	-0.42748	0.0107483
58	0.907863	0.630522	-0.37443	0.0160271
59	0.947252	0.677759	-0.33409	0.018104
60	0.947192	0.655997	-0.339414	0.0180831
61	0.990546	0.621152	-0.298014	0.0184879
62	0.964964	0.68542	-0.277534	0.0298713
63	0.941755	0.647085	-0.363708	0.0154875
64	1.00298	0.688296	-0.166126	0.0372649
65	1.00427	0.647229	-0.292203	0.0173358
66	0.942497	0.621407	-0.389258	0.0122008
67	0.989893	0.640055	-0.302484	0.0179603
68	0.925016	0.649041	-0.351392	0.0165202
69	0.964133	0.607	-0.355844	0.0145177
70	0.948423	0.592228	-0.366986	0.0120891
71	0.990312	0.613655	-0.297561	0.0191264
72	0.953128	0.549275	-0.315171	0.0143997
73	0.940338	0.547873	-0.309246	0.0171519
74	0.872139	0.496431	-0.252073	0.0236549
75	0.942866	0.525466	-0.282907	0.0177675
76	0.963954	0.562022	-0.307242	0.0127398
77	0.957726	0.531048	-0.270065	0.0172991
78	0.974684	0.552423	-0.303391	0.0160187
79	0.980049	0.581189	-0.322271	0.0124908
80	0.942153	0.536705	-0.28163	0.0149713
81	0.916367	0.568963	-0.36373	0.0105967
82	0.951881	0.619871	-0.362554	0.0126569
83	0.915489	0.67162	-0.340008	0.0215993
84	0.879901	0.659489	-0.418204	0.0127242
85	0.887626	0.731529	-0.338097	0.0222677
86	0.876831	0.77848	-0.239589	0.0325817
87	0.830752	0.749456	-0.30778	0.0267878
88	0.829327	0.744347	-0.324127	0.0349421
89	0.822951	0.750626	-0.358226	0.0209926
90	0.871713	0.828673	-0.155574	0.0355938
91	0.939309	0.825109	-0.0958535	0.0459921
92	0.916559	0.792161	-0.114059	0.048948
93	0.853114	0.859147	-0.178859	0.0322913
94	0.879853	0.817434	-0.215287	0.0334029
95	0.860704	0.840534	-0.160118	0.0381593
96	0.910428	0.883016	0.00640098	0.0460116
97	0.831743	0.855664	-0.0751557	0.0596444
98	0.789934	0.812025	-0.290812	0.0242103
99	0.804182	0.802439	-0.215714	0.0669802
100	0.787116	0.752413	-0.350288	0.0171904
101	0.843003	0.743554	-0.305732	0.0268816
102	0.775084	0.672665	-0.423164	0.0102223
103	0.752235	0.637182	-0.419777	0.0110512
104	0.675886	0.630648	-0.37826	0.00961425
105	0.728967	0.674133	-0.433926	0.00843948
106	0.686454	0.672406	-0.413397	0.00864024
107	0.659538	0.607855	-0.37569	0.00989249
108	0.720816	0.594731	-0.408572	0.00839204
109	0.742296	0.581504	-0.402284	0.00974277
110	0.758623	0.608506	-0.4221	0.0106529
111	0.810369	0.59433	-0.427577	0.0097573
112	0.854307	0.609861	-0.436432	0.0100299
113	0.864122	0.669644	-0.4193	0.0134165
114	0.857512	0.628236	-0.433072	0.0108088
115	0.924617	0.566534	-0.359724	0.0109054
116	0.858904	0.501145	-0.252323	0.0221455
117	0.803457	0.502171	-0.308942	0.0234697
118	0.733478	0.482976	-0.252816	0.0251643
119	0.674629	0.522538	-0.365429	0.0153947
120	0.705603	0.598127	-0.400026	0.00885387
121	0.767905	0.596547	-0.434432	0.00792864
122	0.855633	0.618236	-0.436926	0.00931089
123	0.769781	0.541542	-0.391884	0.0131424
124	0.795919	0.518959	-0.361002	0.0193389
125	0.851179	0.56661	-0.414709	0.0119064
126	0.796679	0.554615	-0.404907	0.0118527
127	0.80349	0.580307	-0.426252	0.00886256
128	0.807935	0.659165	-0.419245	0.0173086
129	0.729652	0.68337	-0.427909	0.00987099
130	0.707073	0.7185	-0.390452	0.0100505
131	0.790912	0.761437	-0.343732	0.0218878
132	0.734848	0.732541	-0.36979	0.021872
133	0.762647	0.803223	-0.274519	0.0280848
134	0.795743	0.714448	-0.401066	0.0160857
135	0.698945	0.676935	-0.3895	0.010508
136	0.723331	0.671161	-0.414189	0.00897998
137	0.786345	0.600638	-0.435201	0.00813202
138	0.725226	0.581124	-0.400226	0.00864872
139	0.674385	0.613537	-0.398169	0.00932364
140	0.659779	0.610986	-0.402396	0.0106554
141	0.755105	0.698213	-0.413382	0.0142446
142	0.818577	0.665273	-0.424638	0.0128461
143	0.749168	0.633219	-0.432323	0.00855917
144	0.782846	0.692862	-0.415298	0.0124082
145	0.766145	0.658334	-0.414825	0.0104227
146	0.82063	0.662421	-0.443992	0.0118512
147	0.816271	0.577773	-0.432486	0.0108912
148	0.792976	0.674758	-0.421459	0.0100776
149	0.883769	0.590046	-0.411639	0.0118424
150	0.926299	0.639241	-0.366628	0.0144965
151	0.946498	0.554305	-0.322644	0.0147775
