#   N_BLOCK:  ACCEPTANCE:
           1    0.173321
           2    0.173956
           3    0.173795
           4    0.173273
           5    0.173357
           6    0.173004
           7     0.17265
           8    0.173253
           9    0.173507
          10    0.173515
          11    0.173575
          12    0.173554
          13    0.173293
          14    0.173539
          15    0.173603
          16    0.173465
          17    0.173373
          18    0.173478
          19    0.173457
          20    0.173535
