#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     11.9295     11.9295           0
           2     11.5825      11.756    0.122691
           3     13.1556     12.2225    0.389598
           4     12.7645      12.358    0.314877
           5     12.2645     12.3393    0.252457
           6     12.2005     12.3162    0.211439
           7     12.8286     12.3894    0.193489
           8      11.638     12.2954    0.190743
           9     11.7997     12.2404    0.177325
          10     12.0721     12.2235    0.160389
          11     12.5158     12.2501    0.147992
          12     12.1763     12.2439    0.135787
          13     13.5086     12.3412    0.156354
          14     12.3962     12.3452    0.145235
          15     12.8542     12.3791    0.139461
          16     12.7343     12.4013      0.1325
          17     12.4984      12.407    0.124829
          18     11.9084     12.3793    0.120928
          19     12.5552     12.3886    0.114917
          20     12.7583     12.4071    0.110648
