#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.03633     0.03633           0
           2    0.038922    0.037626  0.00091641
           3      0.0356   0.0369507 0.000822981
           4    0.034488    0.036335 0.000815637
           5    0.034346   0.0359372 0.000743213
           6     0.02414    0.033971  0.00189874
           7    0.032796   0.0338031  0.00163489
           8    0.039602    0.034528  0.00158309
           9     0.04413   0.0355949  0.00172973
          10    0.034498   0.0354852  0.00156023
          11     0.02989   0.0349765  0.00149901
          12    0.032264   0.0347505  0.00139103
          13     0.03897   0.0350751  0.00132136
          14     0.03479   0.0350547  0.00122713
          15    0.032256   0.0348681  0.00115942
          16    0.039648   0.0351669  0.00112478
          17     0.03708   0.0352794  0.00106424
          18    0.033094    0.035158  0.00101201
          19     0.03085   0.0349313 0.000983821
          20    0.031676   0.0347685 0.000947999
