#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.238023    0.238023           0
           2    0.230393    0.234208  0.00269776
           3    0.229234     0.23255  0.00225104
           4    0.226185    0.230959  0.00217924
           5    0.223129    0.229393  0.00223633
           6    0.229964    0.229488  0.00186563
           7    0.228941     0.22941  0.00160075
           8    0.235632    0.230188  0.00157831
           9    0.232061    0.230396   0.0014166
          10    0.230536     0.23041  0.00127501
          11    0.228595    0.230245  0.00116973
          12    0.232111      0.2304  0.00108254
          13    0.231965    0.230521  0.00100593
          14    0.225878    0.230189 0.000987236
          15    0.232905     0.23037  0.00093788
          16    0.231305    0.230429  0.00088108
          17    0.228617    0.230322 0.000835674
          18    0.231111    0.230366 0.000790395
          19     0.23201    0.230452 0.000753515
          20    0.228534    0.230356  0.00072192
