#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.89831     1.89831           0
           2     1.89701     1.89766 0.000458372
           3      1.8805     1.89194  0.00468131
           4     1.90656     1.89559  0.00472701
           5     1.90302     1.89708  0.00400824
           6     1.85026     1.88928  0.00786738
           7     1.95263     1.89833   0.0107555
           8     1.87958     1.89598  0.00966295
           9     1.91826     1.89846  0.00890056
          10     1.89226     1.89784  0.00803205
          11     1.86423     1.89478  0.00786157
          12     1.89986     1.89521  0.00721781
          13     1.83228     1.89037  0.00812514
          14     1.83432     1.88636  0.00847377
          15     1.87893     1.88587  0.00792334
          16     1.88901     1.88606  0.00743057
          17     1.87855     1.88562   0.0070066
          18     1.90536     1.88672  0.00670261
          19     1.86101     1.88536  0.00648497
          20     1.88846     1.88552  0.00616257
