#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.18141     0.18141           0
           2    0.234402    0.207906   0.0187355
           3     0.23149    0.215767   0.0140431
           4    0.167572    0.203719    0.014826
           5    0.153704    0.193716   0.0148568
           6    0.195622    0.194033   0.0123841
           7    0.186602    0.192972   0.0106603
           8    0.243886    0.199336   0.0110657
           9    0.177744    0.196937   0.0100929
          10    0.213678    0.198611  0.00922138
          11    0.186036    0.197468  0.00845363
          12    0.203148    0.197941   0.0077624
          13    0.215536    0.199295  0.00728233
          14    0.209082    0.199994  0.00679564
          15    0.203374    0.200219  0.00634633
          16    0.175536    0.198676  0.00613432
          17    0.182078      0.1977  0.00585067
          18    0.196074     0.19761  0.00552633
          19    0.154666    0.195349  0.00567889
          20     0.21085    0.196125  0.00544757
