#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.453843    0.453843           0
           2    0.439177     0.44651  0.00518515
           3    0.429327    0.440782  0.00581548
           4    0.467234    0.447395  0.00719878
           5    0.421617    0.442239  0.00737773
           6    0.419954    0.438525  0.00702109
           7    0.414876    0.435147   0.0067824
           8    0.412897    0.432365  0.00647981
           9    0.438597    0.433058  0.00579671
          10    0.410942    0.430846  0.00562313
          11    0.426573    0.430458  0.00512534
          12    0.404948    0.428332  0.00512013
          13    0.429933    0.428455  0.00472776
          14     0.40284    0.426625  0.00473086
          15    0.422445    0.426347  0.00442367
          16    0.418288    0.425843  0.00417576
          17    0.431526    0.426177  0.00394349
          18    0.410893    0.425328  0.00381473
          19     0.43483    0.425828  0.00364659
          20    0.427282    0.425901  0.00346499
