#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.408184    0.408184           0
           2    0.363382    0.385783   0.0158399
           3    0.457088    0.409551   0.0220938
           4    0.328696    0.389338   0.0241045
           5    0.324156    0.376301   0.0225347
           6    0.306642    0.364691   0.0215632
           7    0.334094     0.36032   0.0189206
           8    0.388208    0.363806   0.0168736
           9    0.351474    0.362436   0.0150543
          10    0.341126    0.360305   0.0136988
          11    0.352078    0.359557   0.0124739
          12    0.431722    0.365571   0.0128022
          13    0.393264    0.367701   0.0119934
          14    0.349704    0.366416   0.0112054
          15    0.315102    0.362995   0.0109681
          16     0.30905    0.359623   0.0107884
          17    0.355932    0.359406   0.0101559
          18    0.323272    0.357399  0.00978811
          19    0.351574    0.357092  0.00927774
          20    0.341398    0.356307  0.00884698
