#   N_BLOCK:  ACCEPTANCE:
           1    0.352145
           2    0.352987
           3    0.353168
           4    0.353501
           5    0.353589
           6    0.353639
           7     0.35332
           8      0.3535
           9    0.353762
          10    0.353591
          11     0.35351
          12    0.353516
          13     0.35345
          14    0.353578
          15    0.353582
          16    0.353724
          17    0.353656
          18    0.353538
          19    0.353537
          20    0.353593
