#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.58528     3.58528           0
           2     3.55472        3.57   0.0108068
           3     3.57033     3.57011  0.00720508
           4     3.44604     3.53909   0.0274009
           5     3.36616     3.50451   0.0379148
           6     3.67346     3.53267   0.0407321
           7     3.59135     3.54105   0.0357657
           8     3.61501     3.55029   0.0324678
           9     3.55051     3.55032   0.0288602
          10     3.61918      3.5572    0.026783
          11      3.4523     3.54767   0.0259906
          12     3.53067     3.54625   0.0238632
          13     3.62622      3.5524   0.0228067
          14     3.58668     3.55485   0.0213086
          15     3.54835     3.55442   0.0198924
          16     3.52488     3.55257   0.0187346
          17     3.53671     3.55164   0.0176558
          18     3.52856     3.55036   0.0167214
          19     3.47795     3.54655   0.0162698
          20     3.50661     3.54455   0.0155783
