#   N_BLOCK:  ACCEPTANCE:
           1    0.272897
           2     0.27218
           3    0.272674
           4    0.272401
           5    0.272494
           6    0.272808
           7    0.272521
           8    0.272773
           9    0.272817
          10    0.272754
          11    0.272714
          12    0.272598
          13    0.272297
          14    0.272432
          15    0.272321
          16    0.272346
          17    0.272281
          18    0.272339
          19    0.272302
          20    0.272342
