#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.452022    0.452022           0
           2    0.436964    0.444493  0.00532397
           3    0.436436    0.441807  0.00417205
           4    0.454201    0.444906  0.00412208
           5    0.443981    0.444721  0.00330181
           6    0.417715     0.44022  0.00494498
           7    0.426757    0.438297  0.00459738
           8    0.434334    0.437801   0.0040493
           9    0.460392    0.440311  0.00430765
          10    0.414227    0.437703  0.00459929
          11    0.433805    0.437348   0.0041948
          12    0.418727    0.435797  0.00412229
          13    0.442418    0.436306  0.00383653
          14    0.407677    0.434261  0.00407116
          15    0.443046    0.434847  0.00384164
          16    0.443327    0.435377  0.00363792
          17    0.443838    0.435875   0.0034578
          18    0.432399    0.435681  0.00327109
          19     0.42948    0.435355  0.00311517
          20    0.427733    0.434974  0.00298263
