#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.44056     7.44056           0
           2     7.24664      7.3436   0.0685625
           3     7.57354     7.42025   0.0774962
           4     7.99569     7.56411    0.137477
           5     7.41619     7.53452     0.11312
           6      7.5958     7.54474   0.0947264
           7     7.20332     7.49596   0.0929063
           8     7.17413     7.45573   0.0895804
           9     7.45251     7.45538   0.0796278
          10      7.6228     7.47212   0.0734039
          11     7.46964     7.47189   0.0667312
          12     7.30512     7.45799   0.0626007
          13     7.23007     7.44046   0.0601903
          14     7.53102     7.44693   0.0562375
          15     7.87768     7.47565   0.0593692
          16     7.33518     7.46687    0.056304
          17     7.40324     7.46313   0.0531162
          18     7.32693     7.45556   0.0507014
          19     7.73715     7.47038   0.0501523
          20     7.54701     7.47421   0.0477908
