#   N_BLOCK:  ACCEPTANCE:
           1    0.231301
           2    0.231406
           3    0.231675
           4    0.231227
           5    0.231219
           6    0.231237
           7    0.231226
           8    0.231389
           9    0.231491
          10     0.23144
          11    0.231387
          12    0.231267
          13    0.231202
          14    0.231425
          15    0.231359
          16    0.231226
          17    0.231389
          18    0.231447
          19    0.231381
          20     0.23133
