#   N_BLOCK:  ACCEPTANCE:
           1    0.187417
           2    0.186723
           3    0.187235
           4    0.186581
           5    0.186373
           6    0.186177
           7    0.186187
           8    0.186571
           9    0.186498
          10    0.186318
          11    0.186468
          12    0.186361
          13     0.18637
          14    0.186451
          15    0.186621
          16    0.186585
          17    0.186651
          18    0.186728
          19    0.186726
          20    0.186726
