#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.187606    0.187606           0
           2    0.195614     0.19161  0.00283126
           3    0.190096    0.191105  0.00193196
           4    0.189196    0.190628  0.00150678
           5    0.228068    0.198116  0.00680508
           6    0.199712    0.198382   0.0056761
           7    0.228258     0.20265   0.0062677
           8     0.17056    0.198639  0.00664497
           9     0.21265    0.200196  0.00608628
          10    0.169848    0.197161  0.00618817
          11    0.223212    0.199529  0.00606188
          12    0.217872    0.201058  0.00574622
          13    0.202314    0.201154  0.00530501
          14    0.190968    0.200427  0.00497573
          15     0.18641    0.199492  0.00473094
          16    0.213938    0.200395  0.00452059
          17    0.197944    0.200251  0.00425697
          18    0.204948    0.200512  0.00402846
          19     0.18615    0.199756  0.00388671
          20    0.223422    0.200939  0.00386831
