#   N_BLOCK:  ACCEPTANCE:
           1    0.395715
           2    0.396762
           3     0.39651
           4    0.396188
           5    0.396454
           6    0.396845
           7    0.396854
           8    0.396976
           9    0.397182
          10    0.396929
          11    0.396948
          12    0.397028
          13    0.397011
          14    0.397043
          15    0.397141
          16    0.397132
          17    0.397185
          18    0.397135
          19    0.397095
          20     0.39717
