#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.307131    0.307131           0
           2    0.306274    0.306702 0.000302806
           3    0.302794      0.3054  0.00108267
           4    0.303068    0.304817 0.000956112
           5    0.302949    0.304443 0.000834653
           6    0.297417    0.303272  0.00127534
           7    0.300764    0.302914  0.00114238
           8    0.309679     0.30376  0.00127474
           9    0.308281    0.304262  0.00122813
          10    0.306655    0.304501  0.00112838
          11    0.302129    0.304286  0.00104622
          12    0.303604    0.304229 0.000960574
          13    0.311828    0.304813   0.0010496
          14    0.301094    0.304548  0.00100769
          15    0.305514    0.304612 0.000942567
          16    0.304756    0.304621 0.000883699
          17    0.306921    0.304756 0.000842008
          18    0.301533    0.304577 0.000814047
          19    0.299175    0.304293 0.000819351
          20    0.304188    0.304288 0.000778401
