#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     19.3316     19.3316           0
           2     20.3734     19.8525    0.368346
           3     19.3986     19.7012     0.27489
           4     19.3246      19.607    0.221704
           5      21.055     19.8966    0.313919
           6     19.4794     19.8271    0.269189
           7     18.7921     19.6792    0.268287
           8     18.3323     19.5109    0.282689
           9     18.3895     19.3863     0.27738
          10     20.0522     19.4529    0.257511
          11     19.3597     19.4444     0.23424
          12     20.1512     19.5033    0.222002
          13     19.9872     19.5405    0.208023
          14     18.1287     19.4397    0.216231
          15     18.2878     19.3629    0.215021
          16     19.2305     19.3546    0.201741
          17     20.0974     19.3983    0.194547
          18     18.3119     19.3379    0.192875
          19     20.3422     19.3908    0.189828
          20     20.3281     19.4377    0.186032
