#   N_BLOCK:  ACCEPTANCE:
           1    0.111428
           2    0.115969
           3    0.116826
           4    0.115983
           5    0.116067
           6     0.11575
           7    0.116206
           8    0.116141
           9    0.116444
          10    0.116619
          11    0.116921
          12    0.116819
          13    0.117088
          14    0.117469
          15    0.117807
          16    0.117762
          17    0.117784
          18    0.117718
          19    0.117497
          20    0.117601
