#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.45037     0.45037           0
           2    0.461708    0.456039  0.00400864
           3    0.436524    0.449534  0.00594557
           4    0.440619    0.447305  0.00485902
           5    0.466065    0.451057  0.00513542
           6    0.438473     0.44896  0.00468826
           7    0.444481     0.44832  0.00406195
           8    0.429531    0.445971  0.00417838
           9    0.434753    0.444725  0.00389562
          10    0.458354    0.446088  0.00373687
          11    0.429535    0.444583  0.00368771
          12     0.45012    0.445044  0.00340915
          13    0.425801    0.443564  0.00345336
          14    0.434875    0.442943  0.00326199
          15    0.428281    0.441966  0.00318763
          16    0.426737    0.441014  0.00312728
          17     0.43651    0.440749  0.00295452
          18    0.438056      0.4406  0.00279417
          19    0.436762    0.440398   0.0026544
          20    0.454916    0.441124  0.00261906
