#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.40049     0.40049           0
           2    0.311126    0.355808   0.0315949
           3    0.358334     0.35665   0.0210745
           4    0.406852    0.369201   0.0191823
           5    0.387586    0.372878   0.0156944
           6    0.402366    0.377792   0.0138268
           7    0.373458    0.377173   0.0118654
           8    0.368034    0.376031    0.010437
           9    0.359302    0.374172  0.00944144
          10     0.32763    0.369518  0.00957598
          11    0.348658    0.367621  0.00889122
          12    0.317942    0.363482  0.00906301
          13    0.360046    0.363217  0.00836971
          14    0.335526    0.361239  0.00800217
          15    0.266924    0.354952  0.00962708
          16    0.350904    0.354699  0.00902871
          17    0.359836    0.355001  0.00850267
          18    0.368554    0.355754  0.00806357
          19     0.36247    0.356107  0.00764691
          20    0.336498    0.355127  0.00732716
