#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.296536    0.296536           0
           2    0.292161    0.294349  0.00154688
           3    0.296503    0.295067  0.00118635
           4    0.291699    0.294225  0.00115035
           5     0.29199    0.293778  0.00100338
           6    0.290313      0.2932 0.000988504
           7    0.293446    0.293235  0.00084791
           8    0.300275    0.294115  0.00110818
           9     0.29837    0.294588   0.0010812
          10    0.295376    0.294667 0.000975948
          11    0.293092    0.294524 0.000897673
          12    0.293645    0.294451 0.000825847
          13    0.291979     0.29426 0.000783902
          14    0.293025    0.294172 0.000732859
          15    0.290628    0.293936 0.000721087
          16    0.299957    0.294312 0.000767951
          17    0.294639    0.294331 0.000723018
          18    0.293403     0.29428 0.000684688
          19    0.285769    0.293832  0.00078156
          20    0.288747    0.293578 0.000782751
