#   N_BLOCK:  ACCEPTANCE:
           1    0.410988
           2    0.412436
           3    0.412286
           4    0.411751
           5    0.411987
           6    0.412246
           7    0.412111
           8     0.41227
           9    0.412368
          10    0.412129
          11     0.41209
          12    0.412088
          13    0.412109
          14    0.412302
          15    0.412279
          16    0.412262
          17    0.412321
          18    0.412243
          19    0.412138
          20    0.412196
