#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.050216    0.050216           0
           2    0.046204     0.04821  0.00141846
           3    0.043142   0.0465207  0.00167236
           4    0.053288   0.0482125  0.00192871
           5    0.056944   0.0499588  0.00219554
           6    0.047342   0.0495227  0.00187243
           7    0.051946   0.0498689  0.00163663
           8     0.04726   0.0495428  0.00146418
           9    0.052278   0.0498467  0.00133267
          10     0.04836    0.049698  0.00120766
          11     0.05748   0.0504055  0.00128853
          12      0.0479   0.0501967  0.00119795
          13    0.052712   0.0503902  0.00112132
          14    0.046954   0.0501447  0.00106775
          15    0.046396   0.0498948   0.0010254
          16    0.053376   0.0501124 0.000984121
          17    0.049574   0.0500807 0.000926741
          18    0.055444   0.0503787 0.000921911
          19    0.052922   0.0505125 0.000883054
          20    0.042464   0.0501101  0.00092607
