#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.425433    0.425433           0
           2     0.43144    0.428436   0.0021241
           3    0.432784    0.429886  0.00184544
           4    0.411626    0.425321  0.00418868
           5     0.44091    0.428439  0.00435954
           6    0.444964    0.431193  0.00441809
           7    0.418336    0.429356  0.00415117
           8    0.426736    0.429029  0.00364516
           9    0.436574    0.429867  0.00333517
          10    0.418029    0.428683  0.00320486
          11    0.436898     0.42943  0.00299926
          12    0.418425    0.428513  0.00288612
          13    0.418755    0.427762  0.00275999
          14    0.443034    0.428853  0.00277004
          15    0.437659     0.42944  0.00264684
          16    0.436048    0.429853  0.00251343
          17    0.429963     0.42986  0.00236559
          18    0.430173    0.429877  0.00223423
          19    0.427172    0.429735  0.00212117
          20    0.435287    0.430012   0.0020332
