#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.151974    0.151974           0
           2    0.180798    0.166386   0.0101908
           3    0.127916    0.153563   0.0124813
           4    0.172656    0.158336   0.0102331
           5     0.15154    0.156977  0.00827624
           6    0.169292    0.159029  0.00714685
           7     0.18175    0.162275  0.00682324
           8    0.146992    0.160365  0.00623204
           9     0.18085    0.162641  0.00594072
          10     0.16297    0.162674  0.00534674
          11    0.197678    0.165856  0.00572992
          12     0.17403    0.166537  0.00529276
          13    0.192752    0.168554  0.00525575
          14     0.16125    0.168032  0.00490616
          15     0.15799    0.167363  0.00462454
          16    0.168866    0.167457  0.00433646
          17    0.157554    0.166874  0.00412031
          18     0.18472    0.167865  0.00400891
          19     0.18319    0.168672   0.0038782
          20     0.19808    0.170142  0.00395322
