#   N_BLOCK:  ACCEPTANCE:
           1    0.211351
           2    0.210887
           3    0.210419
           4    0.209873
           5    0.210217
           6    0.209814
           7    0.209705
           8    0.209993
           9    0.209853
          10    0.209698
          11    0.209564
          12    0.209529
          13    0.209424
          14    0.209681
          15    0.209555
          16    0.209564
          17    0.209756
          18     0.20975
          19    0.209603
          20    0.209552
