#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.32147     2.32147           0
           2      2.2823     2.30188   0.0138474
           3       2.333     2.31226   0.0125286
           4     2.34669     2.32086   0.0119945
           5     2.37455      2.3316   0.0135755
           6      2.3339     2.33198   0.0113183
           7     2.47956     2.35307   0.0217963
           8     2.38126     2.35659   0.0193546
           9     2.36935     2.35801   0.0172559
          10     2.32742     2.35495    0.015799
          11     2.34644     2.35418   0.0143817
          12     2.32384     2.35165   0.0134035
          13     2.23729     2.34285   0.0149835
          14     2.26222     2.33709   0.0149793
          15     2.35279     2.33814   0.0140172
          16     2.23929     2.33196   0.0144385
          17     2.33249     2.33199   0.0135892
          18     2.34377     2.33265     0.01285
          19     2.23925     2.32773   0.0130801
          20     2.36314      2.3295   0.0125454
